iter	Passed	Remaining
0	2	214
1	3	193
2	5	191
3	7	189
4	9	184
5	11	181
6	13	177
7	15	175
8	17	174
9	19	172
10	21	170
11	22	168
12	24	165
13	26	163
14	28	161
15	30	159
16	32	157
17	33	154
18	35	152
19	37	150
20	39	148
21	41	146
22	43	144
23	44	141
24	46	138
25	47	135
26	49	132
27	50	129
28	51	126
29	52	123
30	54	121
31	55	118
32	56	115
33	57	112
34	59	109
35	60	106
36	61	103
37	62	101
38	62	98
39	63	95
40	64	93
41	65	90
42	66	87
43	66	85
44	67	82
45	68	80
46	69	78
47	70	76
48	71	74
49	72	72
50	73	70
51	73	68
52	74	66
53	75	64
54	76	62
55	77	60
56	78	58
57	78	57
58	79	55
59	80	53
60	81	52
61	82	50
62	83	48
63	84	47
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	88	38
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	93	29
76	94	28
77	95	26
78	96	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
