iter	Passed	Remaining
0	1	1108
1	2	1005
2	2	971
3	3	948
4	4	949
5	5	930
6	6	928
7	7	931
8	8	929
9	9	922
10	10	922
11	11	922
12	12	917
13	13	918
14	14	920
15	14	918
16	15	916
17	16	914
18	17	912
19	18	908
20	19	911
21	20	911
22	21	909
23	22	910
24	23	909
25	24	908
26	25	905
27	26	903
28	26	902
29	27	902
30	28	901
31	29	897
32	30	895
33	31	893
34	32	888
35	33	887
36	33	884
37	34	883
38	35	881
39	36	879
40	37	876
41	38	873
42	39	871
43	39	868
44	40	864
45	41	862
46	42	859
47	43	856
48	44	854
49	44	852
50	45	851
51	46	848
52	47	847
53	48	844
54	49	843
55	49	841
56	50	839
57	51	836
58	52	834
59	53	832
60	53	829
61	54	827
62	56	833
63	56	831
64	57	830
65	58	830
66	59	828
67	60	828
68	61	826
69	62	826
70	63	828
71	64	827
72	65	826
73	65	825
74	66	824
75	67	823
76	68	820
77	69	818
78	70	817
79	70	816
80	71	814
81	72	812
82	73	807
83	73	804
84	74	803
85	75	802
86	76	800
87	77	800
88	78	799
89	78	797
90	79	796
91	80	795
92	81	793
93	82	792
94	82	790
95	83	789
96	84	787
97	85	786
98	86	785
99	87	784
100	87	782
101	88	781
102	89	780
103	90	779
104	91	778
105	92	778
106	93	777
107	93	776
108	94	775
109	95	773
110	96	772
111	97	771
112	98	770
113	99	769
114	99	768
115	100	767
116	101	764
117	102	763
118	103	762
119	103	761
120	104	760
121	105	758
122	106	757
123	107	756
124	107	754
125	108	753
126	109	751
127	110	750
128	111	750
129	111	749
130	112	747
131	113	746
132	114	745
133	115	744
134	116	743
135	116	742
136	117	740
137	118	739
138	119	738
139	120	737
140	120	736
141	121	734
142	122	733
143	123	732
144	123	731
145	124	730
146	125	729
147	126	728
148	127	727
149	128	726
150	129	725
151	129	725
152	130	724
153	131	723
154	132	721
155	133	721
156	134	720
157	134	719
158	135	718
159	136	717
160	137	715
161	138	714
162	138	713
163	139	712
164	140	711
165	141	710
166	142	709
167	143	708
168	143	707
169	144	706
170	145	705
171	146	705
172	147	704
173	148	703
174	149	702
175	149	701
176	150	700
177	151	699
178	152	698
179	153	697
180	153	696
181	154	695
182	155	694
183	156	693
184	157	692
185	158	691
186	158	690
187	159	690
188	160	689
189	161	688
190	162	687
191	163	686
192	163	685
193	164	684
194	165	683
195	166	682
196	167	681
197	168	680
198	168	680
199	169	679
200	170	678
201	171	677
202	172	677
203	173	676
204	174	675
205	174	674
206	175	673
207	176	672
208	177	671
209	178	670
210	179	669
211	179	668
212	180	667
213	181	666
214	182	665
215	183	664
216	184	664
217	184	663
218	185	662
219	186	661
220	187	660
221	188	659
222	189	658
223	189	657
224	190	656
225	191	656
226	192	655
227	193	654
228	194	653
229	194	652
230	195	651
231	196	650
232	197	649
233	198	648
234	198	647
235	199	646
236	200	645
237	201	645
238	202	644
239	203	643
240	203	642
241	204	641
242	205	640
243	206	639
244	207	638
245	208	637
246	208	636
247	209	635
248	210	634
249	211	634
250	212	633
251	213	632
252	213	631
253	214	630
254	215	629
255	216	628
256	217	627
257	217	626
258	218	626
259	219	625
260	220	624
261	221	623
262	222	622
263	223	621
264	223	620
265	224	620
266	225	619
267	226	618
268	227	617
269	228	616
270	228	615
271	229	614
272	230	613
273	231	613
274	232	612
275	233	611
276	233	610
277	234	609
278	235	608
279	236	608
280	237	607
281	238	606
282	239	605
283	239	604
284	240	603
285	241	602
286	242	602
287	243	601
288	244	600
289	245	599
290	245	598
291	246	598
292	247	597
293	248	596
294	249	595
295	250	594
296	250	593
297	251	593
298	252	592
299	253	591
300	254	590
301	255	589
302	255	588
303	256	588
304	257	587
305	258	586
306	259	585
307	260	584
308	261	583
309	261	583
310	262	582
311	263	581
312	264	580
313	265	579
314	266	579
315	267	578
316	267	577
317	268	576
318	269	575
319	270	574
320	271	573
321	272	572
322	272	572
323	273	571
324	274	570
325	275	569
326	276	568
327	277	567
328	278	567
329	278	566
330	279	565
331	280	564
332	281	563
333	282	562
334	282	561
335	283	560
336	284	560
337	285	559
338	286	558
339	287	557
340	287	556
341	288	555
342	289	554
343	290	553
344	291	552
345	292	552
346	292	551
347	293	550
348	294	549
349	295	548
350	296	547
351	296	546
352	297	545
353	298	544
354	299	543
355	300	543
356	300	542
357	301	541
358	302	540
359	303	539
360	304	538
361	305	537
362	305	536
363	306	536
364	307	535
365	308	534
366	309	533
367	310	532
368	310	531
369	311	530
370	312	530
371	313	529
372	314	528
373	315	527
374	316	526
375	316	525
376	317	524
377	318	524
378	319	523
379	320	522
380	320	521
381	321	520
382	322	519
383	323	518
384	324	518
385	325	517
386	326	516
387	326	515
388	327	514
389	328	513
390	329	513
391	330	512
392	331	511
393	331	510
394	332	509
395	333	508
396	334	508
397	335	507
398	336	506
399	337	506
400	338	505
401	339	504
402	340	503
403	341	503
404	341	502
405	342	501
406	343	500
407	344	499
408	345	498
409	345	497
410	346	496
411	347	496
412	348	495
413	349	494
414	350	493
415	350	492
416	351	491
417	352	490
418	353	489
419	354	489
420	355	488
421	355	487
422	356	486
423	357	485
424	358	484
425	359	483
426	359	482
427	360	482
428	361	481
429	362	480
430	363	479
431	364	478
432	364	477
433	365	476
434	366	476
435	367	475
436	368	474
437	369	473
438	369	472
439	370	471
440	371	470
441	372	470
442	373	469
443	374	468
444	374	467
445	375	466
446	376	465
447	377	465
448	378	464
449	379	463
450	379	462
451	380	461
452	381	460
453	382	459
454	383	458
455	383	458
456	384	457
457	385	456
458	386	455
459	387	454
460	388	453
461	388	452
462	389	452
463	390	451
464	391	450
465	392	449
466	393	448
467	394	447
468	394	447
469	395	446
470	396	445
471	397	444
472	398	443
473	399	442
474	399	441
475	400	440
476	401	440
477	402	439
478	402	438
479	403	437
480	404	436
481	405	435
482	406	434
483	407	434
484	408	433
485	408	432
